state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
FL,3,9,15.248486114011278,FALSE,6.248486114011278,14.502897487522354,R+6,R+15
FL,4,17,32.80506965264171,FALSE,15.805069652641713,24.05948102615279,R+16,R+24
FL,5,-12,-33.562439424990565,FALSE,-21.562439424990565,-13.30802805147949,D+22,D+13
FL,6,7,12.627941339551448,FALSE,5.627941339551448,13.882352713062524,R+6,R+14
FL,7,0,-15.383839847762125,FALSE,-15.383839847762125,-7.12942847425105,D+15,D+7
FL,8,11,20.99620832836375,FALSE,9.99620832836375,18.250619701874825,R+10,R+18
FL,9,-5,-16.043499799485744,FALSE,-11.043499799485744,-2.7890884259746684,D+11,D+3
FL,10,-11,-200,TRUE,-189,-180.74558862648894,D+189,D+181
FL,11,15,30.296648217988277,FALSE,15.296648217988277,23.551059591499353,R+15,R+24
FL,12,8,18.428391427155304,FALSE,10.428391427155304,18.68280280066638,R+10,R+19
FL,13,-2,-15.289411334159908,FALSE,-13.289411334159908,-5.0349999606488325,D+13,D+5
FL,14,-7,-200,TRUE,-193,-184.74558862648894,D+193,D+185
FL,15,6,6.04065393721195,FALSE,0.04065393721194965,8.295065310723025,0,R+8
FL,16,7,9.122907837080675,FALSE,2.1229078370806747,10.37731921059175,R+2,R+10
FL,17,13,24.517583408476106,FALSE,11.517583408476106,19.771994781987182,R+12,R+20
FL,18,5,8.602373531877362,FALSE,3.6023735318773618,11.856784905388437,R+4,R+12
FL,19,13,24.54572491144176,FALSE,11.54572491144176,19.800136284952835,R+12,R+20
FL,20,-31,-99.9186486806295,TRUE,-68.9186486806295,-60.66423730711843,D+69,D+61
FL,21,-9,-200,TRUE,-191,-182.74558862648894,D+191,D+183
FL,22,-6,-24.047392696257425,FALSE,-18.047392696257425,-9.79298132274635,D+18,D+10
FL,23,-11,-22.493722093166312,FALSE,-11.493722093166312,-3.2393107196552364,D+11,D+3
FL,24,-34,-200,TRUE,-166,-157.74558862648894,D+166,D+158
FL,25,4,20.906763137494423,FALSE,16.906763137494423,25.1611745110055,R+17,R+25
FL,26,-6,-1.749230279222843,FALSE,4.250769720777157,12.505181094288233,R+4,R+13
FL,27,-5,-5.999936655238216,FALSE,-0.9999366552382156,7.25447471827286,D+1,R+7
GA,1,9,15.477315972762412,FALSE,6.477315972762412,14.731727346273487,R+6,R+15
GA,2,-6,-19.298689624778007,FALSE,-13.298689624778007,-5.044278251266931,D+13,D+5
GA,3,18,31.052606431267613,FALSE,13.052606431267613,21.30701780477869,R+13,R+21
GA,4,-24,-57.69383918091196,FALSE,-33.69383918091196,-25.439427807400882,D+34,D+25
GA,5,-34,-100,TRUE,-66,-57.745588626488924,D+66,D+58
GA,6,8,-1.0296075252197099,FALSE,-9.02960752521971,-0.7751961517086343,D+9,D+1
GA,7,9,0.14940754026693526,FALSE,-8.850592459733065,-0.5961810862219892,D+9,D+1
GA,8,15,100,TRUE,85,93.25441137351108,R+85,R+93
GA,9,31,59.01094584408278,FALSE,28.010945844082777,36.26535721759385,R+28,R+36
